,움직임(z축 X)_1,움직임(z축 X)_0
977,2.341,2.437
978,2.765,2.534
979,2.031,2.559
980,1.965,3.3
981,2.028,3.215
982,2.461,3.811
983,2.754,2.771
984,2.252,2.604
985,1.98,2.603
986,2.004,2.831
987,2.131,3.128
988,2.8,2.942
989,2.717,2.973
990,2.636,3.459
991,2.957,3.644
992,2.623,2.824
993,2.385,2.91
994,2.396,2.616
995,2.551,2.63
996,2.622,2.562
997,2.6,2.613
998,2.728,3.44
999,2.619,3.489
1000,2.538,3.17
1001,2.628,3.08
1002,2.889,2.758
1003,2.732,2.809
1004,2.773,2.892
1005,2.562,3.155
1006,2.497,2.677
1007,2.701,2.741
1008,2.627,3.126
1009,2.348,3.56
1010,2.455,3.018
1011,2.427,3.159
1012,2.815,3.427
1013,3.246,3.197
1014,2.154,3.343
1015,2.232,3.126
1016,2.246,2.988
1017,2.373,3.244
1018,2.286,2.96
1019,2.134,3.099
1020,2.151,3.075
1021,3.163,2.974
1022,2.038,3.493
1023,2.301,3.268
1024,2.498,2.97
1025,2.18,3.114
1026,2.185,2.925
1027,2.192,2.916
1028,2.348,3.302
1029,2.003,3.13
1030,2.431,3.059
1031,2.619,3.249
1032,2.354,3.222
1033,2.36,3.494
1034,2.129,3.048
1035,2.077,3.228
1036,2.043,3.738
1037,2.113,3.367
1038,2.104,3.389
1039,2.135,2.902
1040,2.545,3.295
1041,2.184,3.487
1042,2.749,3.101
1043,2.613,3.384
1044,2.388,3.101
1045,2.287,3.403
1046,2.777,3.358
1047,2.681,3.095
1048,2.967,3.015
1049,2.745,3.263
1050,2.82,2.839
1051,2.593,3.298
1052,2.783,3.501
1053,2.517,3.537
1054,2.527,3.402
1055,2.51,3.097
1056,2.548,3.385
1057,2.509,3.16
1058,2.548,3.554
1059,2.635,2.491
1060,2.526,4.173
1061,2.636,3.222
1062,2.688,3.347
1063,2.675,3.222
1064,2.735,4.145
1065,2.518,3.057
1066,2.591,2.476
1067,2.446,2.268
1068,2.451,2.962
1069,2.517,2.303
1070,2.587,2.293
1071,2.705,2.526
1072,2.72,2.508
1073,2.8,2.155
1074,2.852,1.989
1075,2.761,2.048
1076,2.718,2.487
1077,2.881,2.778
1078,2.642,2.665
1079,2.706,3.448
1080,2.884,3.032
1081,2.696,2.321
1082,2.668,2.604
1083,2.664,2.187
1084,2.623,2.238
1085,2.656,2.111
1086,2.797,2.181
1087,2.719,2.139
1088,2.802,2.719
1089,2.813,2.107
1090,2.727,2.722
1091,2.86,2.165
1092,2.57,2.441
1093,2.547,2.488
1094,2.442,2.222
1095,2.44,2.436
1096,2.437,2.476
1097,2.432,2.527
1098,2.429,2.359
1099,2.444,2.27
1100,2.459,2.585
1101,2.42,2.531
1102,2.414,2.2
1103,2.412,2.193
1104,2.411,3.126
1105,2.411,2.31
1106,2.416,2.467
1107,2.413,2.225
1108,2.416,2.572
1109,2.407,2.318
1110,2.407,3.025
1111,2.394,2.972
1112,2.397,3.377
1113,2.402,2.559
1114,2.401,2.86
1115,2.403,2.938
1116,2.407,3.171
1117,2.41,3.517
1118,2.489,3.572
1119,2.477,3.003
1120,2.405,2.247
1121,2.425,2.28
1122,2.414,2.227
1123,2.441,2.567
1124,2.421,3.653
1125,2.427,2.579
1126,2.423,2.893
1127,2.427,2.29
1128,2.412,3.077
1129,2.392,2.887
1130,2.394,3.709
1131,2.394,3.622
1132,2.397,2.843
1133,2.736,2.457
1134,2.637,2.374
1135,2.638,2.346
1136,2.591,2.465
1137,2.53,2.599
1138,2.589,3.02
1139,2.641,2.486
1140,2.709,2.671
1141,2.546,2.56
1142,2.585,2.661
1143,2.548,2.628
1144,2.576,2.691
1145,2.581,2.579
1146,2.582,2.528
1147,2.592,2.577
1148,2.527,2.564
1149,2.49,2.603
1150,2.495,2.655
1151,2.44,2.689
1152,2.51,2.782
1153,2.503,2.814
1154,2.434,2.964
1155,2.432,2.356
1156,2.433,2.364
1157,2.444,2.583
1158,2.452,2.38
1159,2.441,2.403
1160,2.442,2.477
1161,2.441,2.434
1162,2.442,2.439
1163,2.436,2.441
1164,2.501,2.432
1165,2.446,2.445
1166,2.503,2.426
1167,2.516,2.418
1168,2.434,2.392
1169,2.434,2.331
1170,2.501,2.413
1171,2.511,2.75
1172,2.501,3.254
1173,2.523,2.807
1174,2.719,3.101
1175,2.367,2.252
1176,2.293,2.289
1177,2.308,2.315
1178,2.364,2.255
1179,2.305,2.457
1180,2.322,2.391
1181,2.33,2.406
1182,2.323,2.25
1183,2.298,2.359
1184,2.28,2.386
1185,2.325,2.318
1186,2.276,2.351
1187,2.265,2.344
1188,2.264,2.35
1189,2.285,2.366
1190,2.303,2.379
1191,2.301,2.349
1192,2.284,2.339
1193,2.388,2.388
1194,2.669,2.337
1195,2.411,2.388
1196,2.312,2.276
1197,2.333,2.335
1198,2.32,2.301
1199,2.412,2.309
1200,2.302,2.427
1201,2.303,2.303
1202,2.289,2.301
1203,2.385,2.382
1204,2.296,2.488
1205,2.288,2.462
1206,2.289,2.39
1207,2.299,2.406
1208,2.298,2.297
1209,2.304,2.32
1210,2.302,2.485
1211,2.331,2.412
1212,2.316,2.375
1213,2.32,2.443
1214,2.31,2.353
1215,2.302,2.393
1216,2.57,2.243
1217,2.46,2.449
1218,2.331,2.785
1219,2.297,2.762
1220,2.326,3.837
1221,2.326,3.9
1222,2.331,3.831
1223,2.341,3.667
1224,2.393,3.584
1225,2.402,3.445
1226,2.403,3.44
1227,2.571,3.62
1228,2.481,3.392
1229,2.426,3.249
1230,2.346,3.558
1231,2.316,3.57
1232,2.413,3.591
1233,2.414,3.43
1234,2.724,3.389
1235,2.562,3.86
1236,2.862,3.433
1237,2.457,3.657
1238,2.449,3.87
1239,2.716,3.537
1240,2.65,3.959
1241,2.584,4.001
1242,2.437,3.505
1243,2.534,3.317
1244,2.707,3.712
1245,2.47,3.734
1246,2.471,3.529
1247,2.403,3.81
1248,2.597,3.777
1249,2.686,3.75
1250,2.582,3.7
1251,2.932,3.329
1252,3.02,3.202
1253,2.55,3.23
1254,2.521,3.197
1255,2.526,3.162
1256,2.475,3.175
1257,2.516,3.27
1258,2.523,3.14
1259,2.527,3.149
1260,2.592,3.215
1261,2.373,3.08
1262,2.567,3.115
1263,2.577,3.226
1264,2.679,3.357
1265,2.63,3.148
1266,2.429,3.188
1267,2.513,2.908
1268,2.417,3.076
1269,2.455,3.139
1270,2.539,3.087
1271,2.464,2.86
1272,2.447,2.988
1273,2.437,2.889
1274,2.611,3.003
1275,2.513,2.814
1276,2.746,2.805
1277,2.721,3.045
1278,2.833,3.383
1279,2.46,3.001
1280,2.549,3.034
1281,2.392,2.875
1282,2.518,3.231
1283,2.469,3.364
1284,2.454,3.585
1285,2.538,3.307
1286,2.462,3.348
1287,2.527,3.242
1288,2.468,3.243
1289,2.539,3.199
1290,2.543,3.233
1291,2.624,3.395
1292,2.47,3.577
1293,2.402,3.75
1294,2.436,3.46
1295,2.451,3.58
1296,2.511,3.648
1297,2.594,3.422
1298,2.518,3.267
1299,2.424,3.515
1300,2.51,3.258
1301,3.291,3.32
1302,2.889,3.324
1303,2.992,3.378
1304,3.186,3.321
1305,3.034,3.222
1306,2.931,3.301
1307,2.829,4.255
1308,2.832,2.907
1309,2.831,2.788
1310,2.846,2.977
1311,2.934,2.9
1312,2.924,2.936
1313,2.938,3.039
1314,3.306,3.022
1315,3.188,2.974
1316,2.723,2.96
1317,2.759,2.884
1318,2.75,3.12
1319,3.178,3.154
1320,2.461,3.027
1321,2.661,2.944
1322,2.589,2.95
1323,2.593,2.955
1324,2.615,2.955
1325,2.621,2.954
1326,2.631,3.009
1327,2.686,2.9
1328,2.68,3.134
1329,2.64,2.939
1330,2.656,3.017
1331,2.775,3.281
1332,2.967,3.215
1333,3.069,3.105
1334,2.77,3.05
1335,2.659,2.989
1336,2.719,3.108
1337,2.647,3.346
1338,2.717,3.242
1339,2.652,3.055
1340,2.64,3.222
1341,2.65,3.239
1342,2.975,3.217
1343,2.759,3.187
1344,2.6,3.211
1345,2.667,3.414
1346,2.602,3.054
1347,2.666,3.015
1348,2.602,3.055
1349,2.597,3.063
1350,2.618,3.161
1351,2.675,3.096
1352,2.816,3.094
1353,2.446,3.163
1354,2.522,3.258
1355,2.696,2.941
