,움직임_1,움직임_0
1236,4.19,3.35
1237,4.332,4.047
1238,4.695,3.599
1239,3.958,3.505
1240,4.136,3.675
1241,4.147,3.462
1242,3.958,3.615
1243,6.328,3.267
1244,7.207,3.967
1245,5.14,8.447
1246,5.568,6.973
1247,5.669,7.913
1248,5.664,6.887
1249,4.633,7.008
1250,5.035,6.81
1251,4.52,6.745
1252,4.453,9.401
1253,4.571,6.985
1254,4.434,8.267
1255,4.304,9.051
1256,4.321,7.937
1257,4.228,7.792
1258,4.763,7.357
1259,4.438,7.18
1260,4.719,8.037
1261,4.506,7.674
1262,5.397,8.337
1263,4.418,7.46
1264,4.46,7.369
1265,4.951,9.647
1266,5.057,7.202
1267,5.01,7.518
1268,4.527,9.963
1269,4.65,8.741
1270,5.145,8.146
1271,4.497,7.455
1272,4.348,7.554
1273,4.491,8.246
1274,5.458,7.144
1275,5.175,6.298
1276,5.087,6.583
1277,7.052,7.095
1278,7.441,6.371
1279,5.655,6.275
1280,4.922,6.271
1281,4.69,5.986
1282,4.563,5.627
1283,4.584,6.059
1284,4.577,6.602
1285,4.764,5.8
1286,6.868,6.727
1287,5.285,7.334
1288,4.635,6.646
1289,4.942,5.719
1290,4.515,5.615
1291,4.803,6.167
1292,5.853,6.24
1293,5.567,6.361
1294,4.626,5.363
1295,4.936,6.458
1296,7.199,5.362
1297,2.855,6.697
1298,6.862,5.445
1299,6.684,5.07
1300,7.03,6.456
1301,6.77,7.466
1302,4.709,6.172
1303,5.584,6.274
1304,4.784,8.956
1305,4.767,8.962
1306,5.18,9.666
1307,4.855,9.365
1308,5.002,8.206
1309,5.189,7.55
1310,4.985,7.834
1311,5.132,7.56
1312,5.307,8.3
1313,4.916,8.677
1314,4.924,8.966
1315,4.934,8.355
1316,4.8,8.262
1317,4.947,6.321
1318,5.326,7.709
1319,4.736,7.251
1320,4.658,9.066
1321,5.383,9.001
1322,5.691,7.35
1323,6.5,7.55
1324,5.934,8.313
1325,5.317,7.809
1326,5.448,6.898
1327,5.375,6.617
1328,5.467,6.051
1329,5.952,8.321
1330,5.724,9.819
1331,5.922,6.673
1332,7.148,5.218
1333,4.859,5.209
1334,4.77,5.415
1335,4.824,5.151
1336,6.543,5.305
1337,3.997,5.696
1338,4.182,5.449
1339,4.263,5.328
1340,4.298,7.916
1341,4.672,9.353
1342,4.686,7.595
1343,4.61,8.147
1344,4.869,6.672
1345,4.28,5.786
1346,4.482,5.764
1347,5.165,6.626
1348,6.153,6.456
1349,6.235,7.557
1350,6.757,5.965
1351,4.881,6.288
1352,4.1,6.436
1353,4.592,7.167
1354,4.193,5.296
1355,4.093,6.888
1356,4.188,7.209
1357,3.905,6.887
1358,3.936,5.657
1359,6.003,6.024
