,움직임_1,움직임_0
561,5.526,7.857
562,4.663,5.298
563,4.772,8.868
564,4.684,4.771
565,4.698,4.466
566,4.671,6.032
567,4.705,4.575
568,5.374,5.186
569,4.736,4.879
570,5.224,5.388
571,5.674,7.812
572,4.994,6.038
573,4.709,5.877
574,4.678,7.37
575,4.738,6.372
576,1.555,5.899
577,4.424,5.505
578,5.549,3.983
579,1.543,5.507
580,6.24,4.187
581,1.766,3.481
582,3.063,7.028
583,3.289,4.789
584,1.86,7.617
585,6.935,5.28
586,3.255,4.667
587,7.285,8.111
588,7.633,6.7
589,4.818,9.357
590,3.645,0.97
591,7.053,1.756
592,3.989,3.481
593,1.858,9.691
594,4.75,8.187
595,4.732,2.725
596,4.774,1.907
597,5.309,2.488
598,6.475,0.922
599,5.246,3.501
600,5.676,2.158
601,4.683,1.417
602,5.65,5.307
603,6.147,1.289
604,7.478,1.004
605,1.491,1.452
606,1.598,2.461
607,7.665,8.88
608,6.943,4.693
609,1.542,3.089
610,1.437,2.617
611,1.672,5.266
612,1.385,5.477
613,5.83,4.623
614,1.783,3.408
615,2.194,3.079
616,7.785,7.646
617,3.814,5.363
618,4.131,3.264
619,2.284,5.197
620,1.656,3.315
621,4.438,3.234
622,3.898,3.673
623,1.79,3.43
624,2.724,3.347
625,5.316,5.027
626,7.152,4.52
627,7.384,5.08
628,7.156,2.645
629,7.19,2.709
630,6.84,3.505
631,1.954,4.221
632,6.252,2.986
633,5.574,2.184
634,5.489,1.379
635,5.133,2.23
636,6.148,1.911
637,6.23,2.181
638,5.685,4.062
639,5.664,8.108
640,5.815,7.369
641,4.578,7.513
642,4.319,2.123
643,7.688,1.921
644,7.137,7.536
645,5.166,1.445
646,4.932,1.102
647,5.354,6.761
648,4.978,3.258
649,4.851,8.453
650,5.145,4.038
651,7.149,2.88
652,1.564,7.449
653,4.187,9.452
654,4.7,7.824
655,4.185,5.767
656,2.67,4.996
657,3.103,5.115
658,3.422,5.312
659,3.025,4.527
660,2.841,4.096
661,4.86,3.836
662,1.53,5.559
663,5.873,2.372
664,1.501,4.35
665,7.536,4.978
666,5.678,4.874
667,7.594,6.662
668,6.317,7.678
669,3.739,4.754
670,6.097,4.81
671,7.324,4.941
672,2.006,5.002
673,2.986,4.976
674,3.745,4.869
675,7.549,5.108
676,5.309,5.329
677,7.242,5.138
678,5.605,3.214
679,1.43,4.504
680,2.419,3.235
681,3.055,3.692
682,1.952,4.138
683,1.781,4.683
684,2.998,3.746
685,1.458,3.89
686,2.876,9.037
687,1.901,6.659
688,6.978,7.579
689,4.687,9.353
690,4.009,2.72
691,2.726,2.976
692,2.349,2.569
693,5.79,2.95
694,2.316,3.058
695,7.118,5.865
696,7.191,7.876
697,1.99,6.349
698,6.326,1.954
699,6.086,6.974
700,2.756,7.911
701,1.681,5.949
702,5.473,5.583
703,4.185,5.799
704,2.391,5.505
705,4.127,6.161
706,3.539,7.301
707,5.453,1.066
708,5.626,6.174
709,4.66,5.648
710,4.206,4.79
711,4.23,6.892
712,4.177,5.285
713,4.262,4.822
714,4.219,5.271
715,4.255,7.051
716,4.311,8.617
717,4.345,4.273
718,4.302,5.835
719,4.16,8.044
720,4.32,8.259
721,4.472,6.026
722,4.56,6.36
723,6.257,6.856
724,5.098,6.948
725,4.745,6.902
726,5.605,5.705
727,4.263,6.139
728,4.293,6.622
729,4.569,6.568
730,4.938,6.449
731,5.979,5.541
732,5.575,5.61
733,4.365,8.683
734,3.629,7.756
735,3.613,4.499
736,3.782,5.583
737,3.794,4.842
738,4.345,4.71
739,4.289,5.43
740,3.837,4.767
741,3.945,4.963
742,3.901,5.395
743,3.967,4.944
744,4.163,4.489
745,3.952,4.354
746,3.867,4.104
747,4.071,4.392
748,4.048,4.429
749,4.175,4.275
750,4.155,4.339
751,6.329,4.479
752,5.683,4.479
753,4.878,6.066
754,3.83,5.23
755,3.865,5.757
756,3.935,4.28
757,3.904,5.284
758,3.782,5.235
759,3.81,5.21
760,3.833,5.309
761,3.724,4.656
762,3.867,4.527
763,3.747,6.316
764,4.276,3.111
765,5.085,5.86
766,4.67,4.481
767,4.472,4.434
768,4.019,4.437
769,4.109,5.241
770,4.137,4.973
771,4.156,5.509
772,4.144,4.456
773,4.212,4.971
774,3.975,4.219
775,3.946,4.372
776,4.128,4.132
777,3.915,4.221
778,4.064,4.593
779,4.013,4.349
780,3.903,5.108
781,3.985,4.11
782,4.178,4.139
783,4.51,4.212
784,3.908,4.217
785,4.647,5.065
786,6.227,6.608
787,4.8,4.042
788,4.271,3.922
789,4.599,3.922
790,5.723,3.777
791,5.451,3.846
792,5.293,3.917
793,6.087,3.804
794,5.259,3.912
795,5.426,4.946
796,4.931,6.459
797,5.416,6.372
798,5.195,8.255
799,5.15,2.802
800,5.076,8.548
801,5.158,4.389
802,6.346,4.453
803,6.507,3.854
804,4.889,4.85
805,4.522,7.3
806,4.314,6.663
807,4.395,5.032
808,4.297,4.936
809,4.52,4.968
810,4.449,5.525
811,4.151,6.432
812,4.233,5.626
813,4.991,7.505
814,7.485,5.182
815,4.034,5.708
816,4.11,4.577
817,3.963,5.773
818,3.999,4.978
819,4.018,5.572
820,4.167,4.934
821,4.459,4.507
822,4.296,5.209
823,4.388,4.734
824,4.437,4.545
825,4.404,5.687
826,4.474,5.062
827,4.406,4.489
828,4.327,4.549
829,4.535,4.8
830,4.354,4.833
831,4.551,4.707
832,4.274,4.471
833,4.747,4.687
834,4.321,4.756
835,5.018,4.684
836,4.585,4.867
837,4.658,5.675
838,4.663,4.589
839,4.698,4.039
840,6.728,4.258
841,2.332,4.193
842,5.889,4.482
843,5.748,4.044
844,5.882,4.327
845,4.05,4.918
846,7.634,4.283
847,6.124,4.055
848,7.189,4.055
849,4.244,4.159
850,5.174,4.403
851,2.153,4.411
852,3.202,4.144
853,2.16,4.295
854,3.808,4.157
855,3.036,4.44
856,2.794,4.4
857,7.0,8.493
858,2.784,4.458
