,움직임(z축 X)_1,움직임(z축 X)_0
485,2.381,2.967
486,2.379,2.512
487,2.438,2.755
488,2.371,2.754
489,2.657,2.656
490,2.385,3.027
491,2.387,3.329
492,2.496,2.411
493,2.438,2.89
494,2.506,3.023
495,2.409,2.336
496,2.359,2.39
497,2.35,2.837
498,2.351,2.305
499,2.362,2.513
500,2.366,2.292
501,2.38,2.644
502,2.385,2.901
503,2.313,2.456
504,2.091,2.518
505,2.083,2.746
506,2.109,2.495
507,2.554,2.465
508,2.543,2.581
509,2.606,2.269
510,2.617,2.54
511,2.617,2.405
512,2.663,2.35
513,3.3,3.497
514,2.653,2.436
515,2.868,2.688
516,2.735,2.543
517,3.098,3.258
518,2.423,2.675
519,2.436,3.408
520,2.436,3.558
521,2.691,2.873
522,2.444,3.466
523,2.52,3.415
524,2.439,2.983
525,2.441,3.284
526,2.453,2.721
527,2.446,2.985
528,3.21,3.18
529,2.914,2.876
530,2.992,2.12
531,2.988,2.558
532,2.622,2.709
533,2.592,2.111
534,2.572,2.08
535,2.556,2.023
536,2.561,2.024
537,2.573,2.582
538,2.573,2.365
539,2.578,2.319
540,2.722,3.241
541,2.645,2.554
542,2.777,2.467
543,3.008,2.415
544,2.765,2.765
545,2.734,2.59
546,2.866,2.368
547,2.784,2.363
548,3.208,2.366
549,2.919,2.371
550,2.861,2.443
551,2.903,2.365
552,2.877,2.371
553,2.861,2.595
554,2.715,2.444
555,2.718,3.002
556,2.716,2.668
557,2.716,2.787
558,2.715,3.038
559,2.716,3.43
560,3.136,2.603
561,2.854,2.555
562,2.682,2.476
563,2.841,2.547
564,2.891,3.598
565,2.846,3.322
566,2.715,2.75
567,2.713,2.738
568,2.725,2.275
569,2.849,3.182
570,2.227,2.593
571,2.707,2.357
572,1.51,2.423
573,3.522,2.489
574,3.08,2.533
575,3.145,2.425
576,3.053,2.559
577,1.845,2.452
578,1.946,2.419
579,1.993,2.487
580,2.13,2.45
581,2.653,2.501
582,3.003,2.71
583,1.999,2.427
584,2.282,2.452
585,1.939,2.469
586,2.347,2.456
587,2.633,2.443
588,2.406,2.484
589,2.861,2.47
590,3.044,2.849
591,3.495,2.068
592,3.553,2.071
593,3.035,1.982
594,3.08,2.013
595,2.606,2.087
596,2.174,2.043
597,2.699,2.073
598,2.607,2.468
599,2.345,2.151
600,2.212,2.104
601,2.663,2.083
602,2.442,2.016
603,2.275,2.1
604,2.149,2.079
605,2.009,2.063
606,3.024,2.061
607,2.417,2.062
608,2.506,2.066
609,2.329,2.485
610,2.25,2.52
611,2.406,2.388
612,1.982,2.228
613,2.557,2.43
614,2.457,2.375
615,2.34,2.174
616,2.32,2.303
617,2.328,2.315
618,2.382,2.238
619,2.328,2.556
620,3.499,2.57
621,2.289,2.064
622,3.289,2.067
623,3.338,2.098
624,2.443,2.361
625,3.23,2.316
626,3.625,2.375
627,2.772,2.118
628,3.305,2.312
629,3.458,2.055
630,3.042,2.059
631,3.172,2.058
632,2.429,2.059
633,2.469,2.147
634,2.369,2.156
635,2.303,2.492
636,2.091,2.012
637,2.138,2.057
638,2.005,2.06
639,1.91,2.067
640,1.911,2.267
641,1.939,2.099
642,1.951,1.872
643,1.923,1.857
644,1.931,1.861
645,1.932,1.857
646,1.931,1.856
647,1.88,1.912
648,1.873,1.915
649,1.928,1.925
650,1.931,2.077
651,1.928,2.183
652,2.553,2.816
653,2.267,2.906
654,2.284,2.797
655,2.292,2.036
656,2.095,2.04
657,2.011,1.998
658,2.173,2.097
659,2.241,2.323
660,2.655,2.315
661,2.444,2.157
662,2.077,2.07
663,1.883,2.127
664,1.876,2.182
665,1.935,2.436
666,1.94,2.184
667,2.046,2.476
668,2.091,2.269
669,1.916,2.158
670,1.886,2.055
671,1.882,2.158
672,1.884,2.125
673,1.944,2.991
674,1.886,2.204
675,1.835,2.121
676,1.948,2.042
677,1.888,2.087
678,1.951,2.096
679,1.952,1.993
680,2.246,2.586
681,2.014,1.95
682,2.003,1.932
683,1.911,1.916
684,1.904,1.976
685,1.907,2.018
686,1.92,1.931
687,1.865,1.926
688,1.921,1.982
689,1.923,1.926
690,1.866,1.98
691,1.921,1.94
692,1.866,2.079
693,1.995,1.836
694,2.266,1.83
695,1.784,1.837
696,1.784,1.846
697,1.793,1.883
